other_description,action
 ,Other description
            ,Other description
 #XOO02221  T-09-231-0246,Other description
 ADD INFO,Other description
 ARM TO CREATE DISTANCE,Movement to avoid attack
 ASSISTANCE,MEMBER PRESENCE
 ASSISTING PO'S,MEMBER PRESENCE
 ATTEMPTED TO CREATE DISTANCE,Movement to avoid attack
 BODY WEIGHT ,ESCORT HOLDS
 BODY WEIGHT AND PULLED HAIR,PRESSURE SENSITIVE AREAS
 CARRIED TO SQUAD CAR,ESCORT HOLDS
 CPD APPROVED FLASHLIGHT,IMPACT WEAPON (DESCRIBE IN ADDITIONAL INFO)
 DNA,Other description
 ESCORTED IN SQUAD CAR,ESCORT HOLDS
 HAD SERVICE WEAPON IN R/HAND,Other description
 HANDUFFS TO CONTROL SUBJECT,CONTROL INSTRUMENT
 HELD HIM DOWN ,Take down
 IN CUSTODY WITHOUT INCIDENT,Other description
 PHYS PUSHED OFFR IN VEH,ESCORT HOLDS
 PLACED INO CUSTODY BY A/OS,ESCORT HOLDS
 PUSHED OFFENDER AWAY ,ESCORT HOLDS
 RO PUSHED  OFFENDER,ESCORT HOLDS
 SEE ADDITIONAL INFO,Other description
 SEE NARRATIVE,Other description
 SHOULDERS RESTRIANT,PRESSURE SENSITIVE AREAS
 TO THE FRONT MID-SECTION,PRESSURE SENSITIVE AREAS
.,Other description
....SEE ADDITIONAL INFO BELOW,Other description
"""POLICE, STOP FIGHTING",VERBAL COMMANDS
"""SIR I AM A POLICE OFFICER, I ",VERBAL COMMANDS
* SEE NARRATIVE,Other description
#F3B 17519,Other description
00-565498,Other description
0C DISTANCE,O.C./CHEMICAL WEAPON
0PEN HAND STRIKE,Open hand strike
1ST PROBE DISCHARGE MISSED,Taser
2 ADDITIONAL TRIGGER PULLS,FIREARM
2 CYCLES,TASER (PROBE DISCHARGE)
2 DISCHARGES DURING  FT CHASE,Firearm
2 HAND PUSH TO BACK,ESCORT HOLDS
3 ADDITIONAL TRIGGER PULLS,FIREARM
7 SECONDS,Taser
A;/O PULLED SUBJECT AND LIFTED,ESCORT HOLDS
A.S.P.,IMPACT WEAPON (DESCRIBE IN ADDITIONAL INFO)
A/O APPLIED FOREARM TO OFF,PRESSURE SENSITIVE AREAS
A/O CALLED FOR ASSIST CAR,MEMBER PRESENCE
A/O GAVE CHASE,Tactical positioning
A/O MOVED OUT OF RANGE,Movement to avoid attack
A/O REGAINED CONTROL ,ESCORT HOLDS
A/O RESTRAINED SUBJECT BY THE ,PRESSURE SENSITIVE AREAS
A/O STEPPED AWAY FROM OFFENDER,Movement to avoid attack
A/O UTILIZED LEG SWEEPS,TAKE DOWN/EMERGENCY HANDCUFFING
A/O WAS DRIVING,Other description
A/O'S CARRIED OFFENDER TO CELL,Other description
ABLE TO CONTROL ARMS W/ASSIST,Other description
ABOUT HIS BODY,Other description
ABOVE TOLD TO BACK UP AND MOVE,Other description
ACCIDENTAL DISCHARGE,Firearm
ACCIDENTAL DISCHARGE ,Firearm
ACCIDENTAL DISCHARGE/ R/S SLIP,Firearm
ACCIDENTAL DISCHSRGE,Firearm
ACCIDENTIAL DISCHARGE,Firearm
ACKNOWLEGED,Other description
ACTION TAKEN TO STOP ATTACK,Other description
ACTIVAT EMERGENCY EQUIPMENT,Other description
ACTIVATE EMERGENCY EQUIPMENT,Other description
ACTIVATED ARC SWITCH,Taser
ACTIVATED EMERGENCY EQUIPMENT,Other description
ACTIVATED EMERGENCY LIGHTS,Other description
ACTIVATED LIGHTS AND SIRENS,Other description
ACTIVE RESISTER MOVES,Other description
ACTIVED EMER. LIGHTS,Other description
ADD BODY WEIGHT AND LEVERAGE,Other description
ADD BODY WEIGHT FOR LEVERAGE ,Other description
ADD INFO,Other description
ADD'L OFFICER ASSISTANCE,Member presence
ADD'L P/O ASSISTANCE,Member presence
ADDITIONAL ASSISTING OFFICERS,Member presence
ADDITIONAL CHARGES FILED,Other description
ADDITIONAL INFO BELOW,Other description
ADVICE AND PERSUASION,Verbal direction/control techniques
ADVISED SAME TO CEASE,Verbal direction/control techniques
ADVISED SAME TO CEASE.,Verbal direction/control techniques
ADVISED SUBJECT TO STOP ACTION,Verbal direction/control techniques
ADVISED TO CEASE ACTIONS,Verbal direction/control techniques
ADVISED TO CEASE OR BE CHARGED,Verbal direction/control techniques
AFFECT ARREST,Other description
AFFECTED ARREST,Other description
AFTER A BRIEF FOOTCHASE,Other description
AGAINST SQUAD CAR,Other description
AGGRESSIVELY SWUNG ARMS,Other description
ANIMAL DESTRUCTION,Other description
ANKLE HOLD,Other description
ANKLE SHACKLES,Other description
ANNOUNCE OF OFFICE AS A P.O.,Verbal direction/control techniques
ANNOUNCE OFFICE,Verbal direction/control techniques
ANNOUNCE OFFICE  ,Verbal direction/control techniques
ANNOUNCE OFFICE DISPLAY WEAPON,Verbal direction/control techniques
ANNOUNCE OFFICE DISPLAYWEAPON,Verbal direction/control techniques
"ANNOUNCE OFFICE,DISPLAY WEAPON",Verbal direction/control techniques
ANNOUNCED MY OFFICE CPD,Verbal direction/control techniques
ANNOUNCED OFFICE,Verbal direction/control techniques
ANNOUNCED OFFICE ,Verbal direction/control techniques
ANNOUNCED OFFICE CALLED POLICE,Verbal direction/control techniques
ANNOUNCED OFFICE DROP WEAPON,Verbal direction/control techniques
ANNOUNCED OFFICE/CALLED 911,Verbal direction/control techniques
ANNOUNCED P.O'S OFFICE,Verbal direction/control techniques
ANOUNCED OFFICE,Verbal direction/control techniques
ANOV ENFORCEMENT,Other description
AO PUSHED SUBJECT ON CHEST,Other description
APPARENTLY MISSED SUBJECT,Other description
APPLIED BODY WEIGHT,Other description
APPLIED BRAKES & REVERSED SUV,Other description
APPLIED DEAD WEIGHT TECHNIQUE,Other description
APPLIED FORCE TO HOLD DOWN OFF,Other description
APPLYING HANDCUIFFS,Other description
APPREHENDED SUBJECT,Other description
APPREHENDED WHEN SUBJECT FELL,Other description
"APPREHENDED, PLACED IN CUSTODY",Other description
APPROACHED,Member presence
APPROACHED ,Member presence
APPROACHED SUBJECT,Member presence
APPROACHED TO ARREST,Member presence
APPROAHCED SUBJECT ,Member presence
APPROVED PAIN COMPLIANCE JAW H,Other description
ARC,Taser
ARC 1 SEC ADDITIONAL,Taser
ARC 6 TIMES IN ONE SECOND INTE,Taser
ARM AND NECK HOLD,Other description
ARM AROUND NECK,Other description
ARM CONTROL,Other description
ARM CONTROL TECHNIQUES,Other description
ARM CONTROLS,Other description
ARM HOLD,Other description
ARM HOLD ,Other description
ARM RESTRAINT ,Other description
ARM STRIKE ACROSS THE CHEST,Other description
ARM STRIKES,Other description
ARMED,Other description
ARMED WITH M 4 MODEL 556,Other description
ARMS AROUND THE OFFENDERS BACK,Other description
ARMS RESTRAIGNED,Other description
ARREST,Other description
ARREST ,Other description
ARREST MADE,Other description
ARREST MADE WITHOUT INCIDENT,Other description
ARREST OF SUBJECT,Other description
ARREST PER USE OF FORCE,Other description
ARREST SUBJECT,Other description
ARREST WITHIN USE OF FORCE ,Other description
ARREST WITHOUT INCIDENT,Other description
ARRESTED,Other description
ARRESTED 822 S. KOLMAR 2ND,Other description
ARRESTED 822 S. KOLMAR 2ND FL,Other description
ARRESTED BY ASSIST UNIT,Other description
ARRESTED BY ASSIST UNIT 1104A,Other description
